BRAND,TOTAL_VISITS
The Men's Wearhouse,15208777
The Mosaic Company,586726
The Natural Cafe,1675453
The North Face,21711534
The Northern Trust Company,934935
The Oceanaire Seafood Room,436031
The Office Tavern Grill,548811
The Old Spaghetti Factory,6443126
The Original Mattress Factory,2098290
The Original Mel's Diner,1686655
The Original Pancake House,7389039
The Other Place,3615820
The Palm Restaurant,320805
The Paper Store,9796591
The Parking Spot,27546914
The Perfect Workout,3082624
The Pie Hole,371590
The Pizza Press,1842547
The Pod Hotel,351740
The Princeton Review,402003
The RealReal,2773646
The Ritz-Carlton,11278986
The Rock Wood Fired Pizza,680617
The Salty Donut,1055626
The Salvation Army,78318244
The Sandwich Spot,2005267
The Scotts Miracle-Gro Company,3044603
The Shade Store,11871783
The Shippers Group,423018
The Simple Greek,1291675
The Six,592912
The Spice & Tea Exchange,18864670
The Spot Barbershop,672053
The Taco Stand,6700652
The Teahouse Tapioca & Tea,1764041
The Texan,2217905
The Tile Shop,233549
The Tire Choice & Total Car Care,8820961
The Tutoring Center,1238300
The UPS Store,87554117
The Unbound Collection by Hyatt,231551
The Uniform Outlet,3748649
The Union Kitchen,222508
The Varsity,1023598
The Vitamin Shoppe,16023395
The Wash Tub,229464
The Wing Experience,2008346
The Woodhouse Day Spa,349523
The Yard,3019929
The Zoo Health Club,3934143
Thee Dollar Cafe,1887372
Theory,1456524
Thermo Fisher Manufacturing,363122
Things Remembered,2623000
Third Love,1862098
Thirsty Lion Gastro Pub,4567163
Thompson Hotels,4780134
Thorntons,9490968
Thousand Trails,1435986
Three Dog Bakery,3177224
Thrifty Car Rental International,8157067
Thrifyway Pharmacy,964381
Thrivent,1959521
ThunderCloud Subs,9209506
Tidal Wave Auto Spa,2350917
Tide Dry Cleaners,1669709
Tiff's Treats,460512
Tiffany & Co.,919854
Tiger Rock Martial Arts,1707138
Tiger Schilmann's Martial Arts,513492
Tiger Sugar,8785505
Tijuana Flats,59443252
Tilly's,43987007
Tilted Kilt,1299105
Tim Ho Wan,647236
Tim Hortons,38696627
Timberland,4682139
Timewise Food Store,101229567
Timex,302369
Timken Manufacturing,38384
Tin Drum Asian Kitchen,6401448
Tin Fish Restaurants,2596538
Tinseltown,2365609
Tint World,5662744
Tio's Mexican Food,577941
Tioga State Bank,1067767
Tire Discounters,320134
Tire Factory,270891
Tire Kingdom,8432697
Tire-Rama,461107
Tires Plus,28298001
Tissot,621326
Titan Machinery,27473
Title Cash,33921
Title Nine,409012
TitleMax,4901001
Toadal Fitness,613208
Tocaya,1775942
Tod's,294202
Todd Synder,246675
ToddPilates and Barre,51175
Togo's Eateries,21955677
Tom James,1108655
Tom Thumb,48229424
Tom Thumb Food & Pharmacy,89316712
Tom Thumb Food Stores,4460265
Tom Thumb Pharmacy,20780567
Tom and Chee,673402
Tom's Famous Family Restaurant,4728797
Tommy Bahama,9654811
Tommy Bahama Restaurants and Marlin Bars,3459910
Tommy Hilfiger,18714729
Tommy John,312889
Tommy's Express Car Wash,641469
Toni & Guy,437906
Tony Roma's,608798
Tonya's Treasures Inc,347213
TooJay's,3576304
Toot'n Totum,1013719
Top Fitnes,1121221
Top Pot Doughnuts,5394964
Top Round Roast Beef,1175571
Top Star Express,6214627
Topgolf,4425593
Topman,248473
Toppers Pizza,259345
Tops Friendly Markets,228036504
Tops Pharmacy,2768889
Torchy's Tacos,17488228
Tori Richard,58810
Torrid,12125456
Tory Burch,2128575
Tossed,4280991
Total Wine & More,48282918
Tourneau,277428
Tous,800185
Tous Les Jours,2078535
Town & Country Supermarket,16433694
Town Fair Tire,1822515
Town Star,6060529
Towncare Dental,313961
TownePlace Suites by Marriott,60650619
Toyota,25404963
Tractor Supply Co.,207389362
Trade Fair Supermarket,15824278
Tradehome Shoes,7499982
Trademark Hotels,3278477
Trader Joe's,496442471
Trader Joe's Distribution,257399
TransGroup Global Logistics,135738
Transplace Inc.,111307
TravelCenters of America,5786077
Travelodge,12322526
Travis Mathew,2341978
Trejo's Tacos,560799
Trexcon,11567232
Tri Counties Bank,1726570
Tribute Portfolio,1624476
Trina Turk,63989
Trinity Logistics,5838
Triumph Motorcycles,1466591
Tropical Smoothie Café,246007584
Tropical Supermarket,3973000
Tru Fit Athletic Clubs,13454739
TruGreen,489634
Trucchi's Supermarkets,343531
True Food Kitchen,4324891
True REST Float Spa,601450
True Religion Apparel,1535656
True Value Company,230296141
Trufusion,3738735
Truist,36010334
Trulieve,3436165
Trunk Club,3109
Trust Mark,1106084
Trustco Bank,6458816
Tuesday Morning,24961930
Tuff Shed,604581
Tuffy Auto Service Centers,737200
Tumi,6615920
Tune Up - The Manly Salon,1823872
Tupelo Honey,1290526
Turkey Hill,51586138
Turner Furniture,972921
Turner's Budget Furniture,738632
Turner's Outdoorsman,10016524
Tutoring Club,1131267
Tutta Bella,782554
Tutti Frutti,9155316
Tuxedo Junction,343865
Tuxedo by Sarno,4839370
Twin Liquors,8683132
Twin Peaks Restaurant,21568813
Twisted Root Burger,11603292
Twisted Sugar,490921
Twitch Fitness,183774
Two Men And A Truck,638760
Tyler's,1352398
Typo,1247935
U-Haul,37909234
U-Save-It Pharmacy,2166971
U-Swirl Frozen Yogurt,503972
U.S. AutoForce,1598606
U.S. Bank,42756355
U.S. Cellular,1222319
U.S. Polo Assn.,1372057
U.S. Xpress Terminal,46670
UBS Group,5574470
UCBI,1066822
UFC Gym,4527110
UGG,6112920
ULTA Beauty,110585994
UMB Bank,1835206
UNFI (United Natural Foods),4008797
UPS Customer Center,4830361
UPS Fulfillment Center,458920
US Foods,2358193
US Foods Distribution,167656
US Storage Centers,671186
USA Storage Centers,322474
USAA,30739
Ulysse Nardin,5888578
Umami Burger,306320
Umpqua Bank,5400859
Uncle Giuseppe's,9792645
Uncle Julio's,9065611
Uncle Louie G,544312
Uncle Tetsu Cheesecakes,14433549
Uncommon James,263852
Under Armour,7089951
Uni K Wax,889829
Uni Mart,3666235
UniBank,180200
UniBank Massachusetts,263040
UniVista Insurance,1005790
Unico Bank,934698
Unifirst,932833
Uniform Destination,1815267
Union Bank,4100376
Uniqlo,13400735
United Check Cashing,718030
United Express,25889009
United Facilities,37988
United Grocery Outlet,1264882
United Pacific,25124980
United Pharmacy,1594802
United Propane Gas,460132
United Refrigeration,3292464
United Rentals,1145062
United States Cold Storage,33132
United States Postal Service (USPS),242889785
United Supermarkets,38720901
United Taekwondo Center,993275
United Tire & Service,1422287
United Way,6204973
University of Phoenix,7295558
Unleashed by Petco,11548564
Uno Chicago Grill,4667796
Uno de 50,95759
Untuck It,2799391
Uptown Cheapskate,10053946
Urban Air Trampoline Park,8870334
Urban Bricks Pizza Co.,793810
Urban Outfitters,37054821
Urban Plates,6910960
Urban Zen,151373
Urbane Cafe,10715597
Urth Caffe,2505138
V's Barber Shop,449223
VCA Animal Hospitals,2994058
VF Outlet,282422
VIM,5722362
VIO Med Spa,2221881
VIP Petcare,15716265
VIP Tires & Service,136804
VP Racing Fuels,6476097
Vacheron Constantin,1827219
Vaco,27405
Vail Resorts,4288522
Valentino,686049
Valero Energy,341209911
Vallarta Supermarkets,29380224
Valley Bank,10539751
Valley First Credit Union,405288
Valsan,710727
Valu Home Centers,22513848
Value City Furniture,8128739
Value Pawn and Jewelry,13768724
Value Village Thrift Stores,2554211
Valvoline,89530503
Valvoline Express Care,9960422
Van Cleef & Arpels,62438
Van Heusen,457049
Van Leeuwen Artisan Ice Cream,4369814
Vanderbilt's,315162
Vanilla Sky,127562
Vans,103097373
Vapor Maven,2840111
VaporFi,311461
Veggie Grill,7036946
Velox Insurance,412520
Velvet Taco,13049239
Venus Et Fleur,2769940
Vera Bradley,4693917
Veritex Community Bank,778585
Verizon Wireless,43851412
Verlo,476764
Vermeer,1143539
Veronica's Insurance,527970
Versace,977875
Versona,15747072
Verve Coffee Roasters,770223
VetIQ Petcare,78376
Veterinary Emergency Group,2020767
Victoria's Secret,257957081
Victory Martial Arts,701165
Victra,75191632
Vilebrequin,268078
Villa Italian Kitchen,2542742
Village Inn,10158208
Vince.,1766927
Vino 100,374264
Vino Volo,386809
Vionic,933482
Visionworks,12771785
Vista Paint,183826
Visual Comfort,606507
Vitality Bowls,7004848
Vitamin World,269405
Vivi Bubble Tea,7494884
Vocelli Pizza,8977180
Voco Hotels,1379528
Volcom,2311571
Volkswagen,6752053
Volvo,2484034
Volvo Trucks,595887
Von Maur,9715702
Vons,269604108
Vons Pharmacy,3611759
VooDoo BBQ & Grill,640263
Vulcan Materials Company,9623903
Vuori,2317228
Vyve Broadband,555423
W Hotels,2216953
W. W. Grainger,3702386
W. W. Grainger Distribution,49948
WB Liquors & Wine,2705390
WEL Cos.,83630
WESCO Distribution,1698012
WORLDPAC,1323844
WOW Cafe,612377
WSFS Bank,1831209
WSS,22438392
WaBa Grill,15876819
Waffle House,419385650
Wag N' Wash Natural Food & Bakery,108733
Wag-A-bag,360153
Wagamama,236097
Wagner Logistics,35226
Wahlburgers,4225709
Wahoo's Fish Taco,7537634
Walden Savings Bank,424009
Waldorf Astoria Hotels & Resorts,211203
Walgreens,1331510431
Walgreens Pharmacy,168994864
Walk-On's Bistreaux & Bar,4003386
Walmart,5347685565
Walnut Grill,720331
Walters Wholesale Electric,4316402
Warby Parker,2337721
Warhammer,3713570
Warren James,233647
Wasabi,708679
Washington Federal,2534198
Washington State Employees Credit Union,264784
Washington Trust,202430
Washington Trust Bank,1039339
Watch Station,1227442
Watches of Switzerland,268347
Watco Supply Chain Services,345947
Water Grill,1060212
Watermill Express,9900402
Watershed Car Wash,190495
Waterway Carwash,451689
Waterworks,93999
Wawa,189720042
Waxing The City,544982
Wayback Burgers,19321774
Wayfield,6639535
We Florida Financial,54115
WeWork,9280633
Weber Logistics,403301
Webster Bank,2400504
Webster University,14060776
Webuyanycar,265124
Wegmans Distribution,174817
Wegmans Food Markets,109401880
Wegmans Pharmacy,19737398
Weight Watchers,6200393
Weis Markets,171935964
Weis Pharmacy,37334777
Weldon Barber,371844
Wells Fargo,135931518
Wendy's,2003743450
WesBanco,940921
West America,1580669
West Coast Dental,262106
West Elm,5714508
West Fraser Timber Co. Ltd.,6988531
West Marine,2500516
Western Beef,22965651
Western Dental,1847228
Western Exterminator,29760
Westfield Bank,639445
Westgate Resorts,1228652
Westin Hotels & Resorts,34382490
Westlake Chemical Corporation,4613995
Westshore Pizza,1370068
Westside Pizza,9370617
Westville,36337
Wetzel's Pretzels,53621900
Whataburger,623212504
Wheel Works,132861
Which Wich,28925294
Whiplash,1004858
Whiskey Cake,5067092
Whit's Frozen Custard,589412
White Cap,11616110
White Castle,72620971
White House Black Market,10376106
White Oak Station,701241
Whole Foods Market,557625194
Whole Hog Cafe,1242643
Wichcraft,53073
Wienerschnitzel,83851146
Wilco Farm Stores,994589
Wild Bean Cafe,5119911
Wild Birds Unlimited,11233198
Wild Fork,6246438
Wild Willy's Burgers,553809
Wild Wing Cafe,15033493
Wild by Nature,2987767
WillScot,911843
Willamette Dental Group,282015
Williams Chicken,3837015
Williams-Sonoma,13954029
Willie Jewel's Old School Bar-B-Q,378225
Willy's Mexicana Grill,2865328
Wilson Sporting Goods,714500
Wilsons,410662
WinCo Foods,146652745
WinCo Foods Distribution,394763
WinWholesale,21137868
Winchell's Donut House,6044692
Windermere Real Estate,2650548
Window World,370784
Windsor,22550306
Wing Lung Bank,113257
Wing Zone,2669942
Wing it On!,161156
WingHouse Bar & Grill,351751
Wingate by Wyndham,13564161
Wings Over,815975
Wings To Go,658780
Wingstop,478501652
Winn Dixie,513237607
Winn Dixie Pharmacy,4106947
Winn-Dixie Distribution,316471
Winnebago Dealer,995862
Winstead's,2603034
Wintrust Community Banks,100647
Wireless M,2081039
Wireless Plus,988388
Wireless Zone,10263733
Wokcano,1570519
Wolf Furniture,54678
Wolfgang Puck,1101693
Wolford,421796
Wonder,6444361
Wood Ranch,2344983
WoodSpring Hotels,4133662
Woodcraft,3137305
Woodforest National Bank,14749933
Woods,3849798
Woodstock Furniture & Mattress Outlet,1961660
Woody's Bar-B-Q,691515
Woody's Diner,2600357
Woof Gang Bakery & Grooming,12694905
Woolrich,124626
Work 'N Gear,4880953
Work Boot Warehouse,1374342
Work Out World,372430
Work World,2762388
Workout Anytime,4489368
World Finance,4609197
World Gym,2729842
"World Kitchen - Corningware, Corelle and More",1353839
World Market,20533867
World Wrapps,524641
World of Beer,7615312
Worldmark by Wyndham,1709840
Wow Bao,157922767
Wundabar Pilates,1409106
Wyndham,7754273
Wyndham Garden,1012490
XFINITY by Comcast,23671697
XPO,2187812
XSport Fitness,1502785
Xi'an Famous Foods,756314
Xing Fu Tang,1075303
XpresSpa,315821
Xtend Barre,294697
Xtramart,1358743
YETI,1553439
YWCA,4762024
Yabo's Tacos,111737
Yalla Mediterranean,437244
Yankee Candle,19143018
Yankee Spirits,500211
Yard House,32474140
Yesway Convenience,13949133
Yifang Taiwan Fruit Tea,4158288
Yoga Six,1935896
YogaWorks,644210
Yogen Früz,1559724
Yogli Mogli,1778188
Yogurt Mountain,2072063
Yogurtini,1244937
Yogurtland,35039280
Yoke's Fresh Mart,3725905
Yokes Pharmacy,464635
Yolanda's Mexican Cafe,202631
Yolk,540848
Yoshinoya,9400562
Youfit Health Clubs,3235117
Young Chefs Academy,214689
Your Pie,11072053
Your Wireless,7826204
Yum Yum Donuts,14140920
Yusen Logistics,526897
Yves Delorme,79660
Z Gallerie,1384692
Z Tejas,247338
Z Ultimate Self Defense Studios,7822375
ZAGG,11369266
ZIPS Car Wash,2087309
Zadig & Voltaire,1921722
Zalat Pizza,3106277
Zales,28812209
Zankou Chicken,1766093
Zara,35315848
Zaxby's,257511609
Zazu Salon,305576
Zen Massage,18412
Zero Degrees,1191018
Zerorez,87210
Ziebart,2736224
Ziggi's Coffee,487421
Zio's Italian Kitchen,451483
Zion Market,781626
Zions Bank,283442
Zip's Drive In,3128039
Zoup!,1992214
Zoës Kitchen,22618251
Zumiez,99230577
Zurich Cinemas,470031
Zwilling,4009944
Zx,18027327
[solidcore],3944915
ahipoki bowl,1499016
aka.,5638733
ampm,27333290
avid hotels,501210
bareMinerals,479126
barre3,4130052
beem Light Sauna,105922
bellagreen,3170143
brick house TAVERN + TAP,856755
dd's DISCOUNTS,65062124
fab'rik,933700
gorjana,5225652
honeygrow,9503539
i Fratelli Pizza,2468609
iCRYO,298552
iFixandRepair,2148734
iFly Indoor Skydiving,893116
iFresh Market,5184784
iLoveKickboxing,4692733
iPic Entertainment,1109568
iSoldIt,50421
iStorage,1357348
ideal dental,706406
illy Caffè,147456
lululemon athletica,41520852
maurices,24616810
mobile destination,2906692
nayuki,1422056
nomnom,18710553
pOpshelf,44707499
rue21,49326297
scotty browns,628698
solita Tacos,1749484
superfresh,11170602
sweetgreen,10453382
tavern in the square,6151924
tops! at SPAR,1200712
total by Verizon,33605404
tru by Hilton,6337169
uBreakiFix,8288312
vineyard vines,12373569
zpizza,727474
Überrito,653147
